TNFRSF1A
GRIA3
TLR8
KLRK1
CD3E
CSF2RA
DRD5
ROR2
RAMP3
AVPR1A
PTGER1
IL21R
ACVR2A
TGFBR3
GLRA1
GABBR2
EPHB2
ADORA2B
HTR2B
CD3D
IL5RA
S1PR2
PTGIR
ESRRA
TREM2
KLRC1
ARNT
HTR4
HTR1D
LILRB1
ADORA3
CD3G
F2RL3
LRP8
DDR1
CHRNB2
CRHR2
IL23R
CXCR5
NOTCH3
IL17RA
ABL1
SORL1
GCGR
FCER2
KLRD1
S1PR3
SSTR5
SCTR
GPBAR1
NPR1
HRH4
ADCYAP1R1
KIR2DL3
IL1RAP
GABRB2
GRPR
PTAFR
NPR2
NPY1R
IL1R2
CXCR6
AMHR2
BDKRB1
HCRTR1
GRIA4
MC3R
MST1R
EPHA1
LTB4R
TNFRSF13B
PTPN22
MSR1
NR5A2
ACKR2
LTBR
F2RL2
LBR
ROR1
CSF2RB
NRIP1
PROKR2
FZD4
ITPR3
IL3RA
TNFRSF9
TNFRSF18
FCGRT
TRAF1
DDR2
NR0B2
MRC1
TNFRSF10C
GRK3
GRIN2D
PROCR
NPY2R
EDAR
NPY5R
HTR6
NPR3
TFR2
GFRA1
LRP6
RXFP2
P2RY6
LPAR1
RACK1
GRK5
OSMR
GABRA2
HRH3
GABRB1
TNFRSF6B
GRIK1
PTGFR
KIR2DL1
CYSLTR1
ADIPOR1
LPAR3
IL13RA2
GRM3
GRM2
RXRB
IL12RB2
IL1RL1
HTR7
GABRA5
HCRTR2
TNFRSF14
PTGDR2
RARG
TNFRSF10D
INSRR
NTSR1
TAS2R38
NR2F2
FCER1G
CHRNA3
CYSLTR2
GRK6
TRHR
GPRC6A
C3AR1
NR2E3
EPHA4
NR2C2
KIR2DL4
SSTR1
AVPR1B
IL15RA
TRPV4
TNFRSF25
IL13RA1
TNFRSF8
IL11RA
CCR9
RXFP1
MCHR1
TRA
TREM1
GRIK3
M6PR
CNTFR
MTNR1A
MTNR1B
RIPK2
UTS2R
TLR10
ADIPOR2
GRIN2C
GABRA3
VIPR2
ESRRG
PTH2R
CHRNG
GRM7
PTGDR
MLNR
GRID2
PIGR
NMUR1
GABRA6
GRIN3A
P2RX4
P2RY4
SMO
GALR2
TNFRSF17
EPHB3
ACKR4
CHRNA5
NMBR
PTPRJ
P2RY11
NPY4R
NR4A3
FCAR
TRAF5
PTPN3
RXRG
P2RX2
PTPN2
CHRM4
HAVCR2
GRM4
GIPR
LGR6
GALR1
ADGRG1
LYVE1
TRPC1
CHRNB4
GFRA2
RTN4R
KIR2DL2
LILRB2
SCARB2
NOTCH2
P2RX3
S1PR5
GRIK5
ITPR2
LPAR2
FCER1A
EPHB1
KIR2DS2
GRB10
TRPC3
GPR37
HTR1F
NPSR1
SSTR3
IL17RC
IL1RL2
GABRD
GPR55
TAAR1
NCR1
PLA2R1
GABRA4
IFNLR1
XCR1
S1PR4
ROS1
CMKLR1
FFAR4
GLRB
GRM8
GABRR1
TRAC
ASGR2
HTR3B
TAS2R16
EPHB6
OXER1
GRIN3B
GPR182
NR1D1
GRIK4
EPHA7
TRPA1
BRS3
NR2C1
CHRNA2
LGR5
NCOA6
NCOA4
KIR3DL2
TRPC6
FCRL3
PTPRF
MC5R
FCGR2C
IRAK2
GABRG3
EPHA5
IRAK3
GRM6
NR2F1
CCR10
PGRMC1
SRA1
IL17RD
FFAR2
NPFFR2
HTR5A
GRIP1
CHRM5
IL31RA
HCAR2
RORB
LILRB4
ADGRV1
NCR3
KIR2DS1
FRS2
CCRL2
HAVCR1
PTPRU
RIPK3
GABARAP
FFAR1
KIR2DS4
ACVR1C
C5AR2
HTR1E
KIR3DS1
GRK4
PTPRA
SSTR4
TNFRSF21
EPHA8
LEPROT
CHRNA6
LAIR1
CD200R1
IL27RA
FZD5
IL22RA1
CHRNB3
RYR3
GABRR2
FZD7
GLP2R
NR6A1
PRLHR
KLRC2
FZD1
GALR3
PTPRZ1
NOTCH4
CRLF1
PTPRS
NCR2
LTK
GPR15
GABRE
MARCO
CRLF2
TRAF4
KLRB1
TAS1R3
P2RY14
TRPC4
RXFP4
MRAP
TAS2R14
ASGR1
ADGRE5
EDA2R
IL22RA2
LDLRAP1
TNFRSF12A
GNRHR2
FPR3
GPR68
LTB4R2
GABRQ
FZD2
HCAR3
NTSR2
LRP4
RXFP3
IL9R
ADGRG6
KIR2DL5A
IL18RAP
LPAR6
PTPRB
MCHR2
PTPRD
P2RX5
FOLR2
IRS4
IL17RB
F11R
NSD1
CMKLR2
PTPRT
OR51E2
NMUR2
GLRA2
GABRR3
HCAR1
GRB7
KIR2DS5
TRPM8
ROBO1
FZD6
TNK2
CHRNA9
GFRA3
GPR37L1
EPS15
ADGRG2
OR1E1
GPR39
RARRES2
TRPM7
TAS1R2
NPFFR1
GABRG1
PKD1
LPAR4
TRPC5
IL1RAPL1
FFAR3
GABRP
MRC2
LRP1B
HMMR
TAS2R10
KIR3DL3
GPR17
IL20RA
LGR4
NR1D2
NPBWR1
LILRB3
TAS2R1
NR2E1
TAS2R40
MAS1
FZD3
GPR143
TAS2R4
P2RX6
FZD9
OR1D2
EPHA10
GRB14
XPR1
TRPV6
PTPN13
AMFR
KIR2DS3
NPBWR2
P2RY13
ADGRE2
GRK1
TAS2R7
GPR183
GPR4
TNFRSF19
GPR151
FZD8
EPHA6
KLRG1
OR1F1
TAS2R3
OR2F1
OR1E2
PTPRK
TAS2R13
TAS1R1
PROKR1
GPR50
DCC
FCRL5
GPR119
GLRA3
GPRC5A
OXGR1
LPAR5
TAS2R9
ADGRF1
FCRL4
REEP1
FCRL6
OGFR
TAS2R31
FGFRL1
PTPRG
TAS2R43
QRFPR
TAS2R8
OSCAR
TAS2R60
FLT3LG
TAS2R41
TRIP11
TRIP4
LILRA3
TRPM3
AGTRAP
GPR83
ADGRE1
LILRA2
TAS2R50
GPR3
GRID1
OR3A1
CHRNA10
GPR35
TAAR5
PTPRN
IL20RB
OR3A3
TAS2R46
GPRC5B
RYK
TRAT1
ADGRL1
EBAG9
FZD10
ADGRF5
KDELR1
AHRR
GPR31
TAS2R5
GPR61
OR51E1
TAS2R20
SRPRA
GPR6
TRPM6
TAS2R39
GPR101
TAS2R19
PTPN12
MPIG6B
TAAR6
GPR84
GPR34
ADGRD1
SCARF1
PTPRO
UNC5B
OR6A2
GPR156
GFRA4
ADGRG3
TRPM1
GPR65
TAS2R30
OR1E3
UNC5C
OR1G1
FCGR1BP
RELT
OR2H2
NR2F6
OR2B6
GPR18
CELSR2
PKD2
TRPV3
CELSR1
RGR
OR2AG1
OR4D2
PTCRA
TAAR2
NCOA7
ADGRF3
MRAP2
GPR158
TRPV2
OR2D2
HJV
OR2AT4
OR2H1
PTPRN2
HTR3C
OR10C1
GPR161
SUCNR1
GPR132
TRPM2
P2RY10
TRIP13
OR10A5
PAQR7
PTPRM
GPRASP1
RIC3
GFRAL
BCAP31
ADGRF4
TRIP6
HTR3E
GPR87
SCARA5
OR7A5
OR1A1
HTR3D
TRAP1
GPR139
OR5AN1
CNRIP1
OR1Q1
ROBO3
OR3A2
GPRC5C
GABARAPL1
TRG
GPR12
OR12D2
GRINA
OR7C2
ADGRG5
PDGFRL
PILRA
ADGRE3
LILRA1
OR7C1
FCMR
ADGRL2
BMX
OR4D1
ROBO4
VN1R1
TRPV5
ADGRL3
ROBO2
OR7D4
PILRB
OR52A1
KDELR2
ADGRG4
P2RY8
OR5I1
GPRC5D
GPR32
OR1D4
TRPM4
LILRB5
OR2A5
OR1J2
TAS2R42
GPR88
OR8G1
CRCP
OR7E24
FCRL2
ARNT2
ILDR1
OR2J3
OR2S2
OR2W3
SRPRB
OR11A1
OR2J2
TAAR8
OR1N1
PTPRE
ADGRA2
ADGRA3
OR4X1
PGRMC2
OR10J5
PTPN23
KLRC4
OR5H6
PSMD2
KLRA1P
STRAP
FCRLA
OR4X2
TRD
OR2K2
OR2T1
OR8D1
OR10A3
OR2C1
PAQR5
OR10A4
OR1D5
OR2M4
ADGRF2P
OR8D2
OR10J1
OR51B2
LILRA4
OR5B3
PAQR8
TAAR9
RTN4RL2
KIR3DP1
OR4C16
OR8G5
SSR4
OR4C15
OR8B8
OR1B1
OR10P1
OR10X1
GPR75
OR10A2
OR4E1
LRP10
CELSR3
OR5P2
GPR174
TRPC7
OR5F1
OR6B1
SORCS2
GPR62
NCOA5
OR7G2
THRAP3
OR1A2
ABL2
OR51J1
FCRL1
GPR33
OR14J1
GPR171
FRS3
OR5AR1
LOC109504725
OR2F2
OR4E2
ADGRD2
OR2A14
OR2M3
OR7A17
OR4M1
LAIR2
ADGRA1
GPR160
TGFBRAP1
OR51V1
GPR63
KLRC3
OR2C3
NPY6R
OR1C1
OR56A3
PTPRQ
OR8K3
OR2B3
OR1P1
GPR146
OR8B4
OR7G1
OR5V1
TAS2R45
PTPN4
OR51G1
ERRFI1
OR2L2
RTN4RL1
OR52D1
OR51I1
OR8G2P
OR2A4
OR7D2
PTPN14
OR4A8
OR10H3
OR14C36
OR13H1
TRGC1
OR5K1
ADRM1
OR2W1
ADGRL4
OR2T11
OR2I1
OR52B4
IL17RE
OR6Y1
OR10D3
GPR45
GPR85
TRAV29DV5
OR2AG2
OR4A5
OR3A4P
OR8U3
OR7A10
OR2A12
OR5W2
OR2J1
GPR42
NRBF2
OR4L1
OR4A16
NR2C2AP
OR1L4
TAAR3P
OR51B5
ADGRG7
RTP1
OR52R1
TRIP12
OR10H1
OR4C5
OR2A1
OR2Z1
OR51M1
TRAF7
GPR52
OR10H2
OR1L6
OR51I2
IZUMO1R
OR52N4
OR52W1
OR11H7
PTPN5
GPR153
OR56B4
APOBR
OR4B1
LILRA5
OR9G1
OR4F17
OR6F1
OR10A6
KLRF1
OR13G1
OR4D10
OR1N2
OR2Y1
GPR149
OR51B6
OR52M1
OR5L2
OR10G3
GPR19
OR2A2
OR12D3
NSMF
OR1L1
PTPRR
OR52E8
PAQR6
OR2A7
OR1J4
OR4F15
OR4S2
OR51B4
OR6P1
KIR2DL5B
OR1M1
OR2A42
OR5H2
OR5L1
OR51F1
GPR179
FCAMR
TRBC2
OR2T2
OR2V2
OR5D18
OR2L5
OR5T2
OR5C1
OR5B12
OR52L1
OR14K1
OR6Q1
OR2AK2
OR2L8
OR4F4
GPR173
GPR20
OR7G3
PAQR9
OR2B2
REEP2
VN1R4
FCRLB
VN1R2
OR4F29
OR8B3
OR8B2
OR4D6
OR6M1
OR52A5
ADGRB1
OR4N2
GABARAPL2
OR4C12
OR6V1
HR
KIR2DP1
OR51G2
OR56B1
SCARA3
TRBC1
OR1S1
OR1F2P
OR4D9
OR10G2
OR2T5
OR8A1
OR2AP1
TRGC2
OR6K3
OR5P3
OR6N1
OR4F16
ADGRE4P
OR1J1
OR2L13
OR14A16
OR5G3
OR5H14
KDELR3
OR52H1
PTPN7
RTP2
OR4F6
OR10AD1
OR5A1
OR13C4
GPR22
OR12D1
PKD2L1
OR13A1
OR5AS1
OR5D14
OR10W1
OR5H8
OR4Q3
LILRA6
TREML1
OR4K2
CD200R1L
OR5K2
OR10Z1
OR13J1
OR13C8
OR4N4
OR4A47
OR9A2
OR52E6
OR5T1
OR2D3
OR4K1
OR4C11
OR51D1
OR6B2
PTPRH
GPR27
OR11H4
OR11G2
OR2T35
OR13C3
OR2T4
OR5B17
LRP12
OR52N2
OR5J2
OR5D13
OR9I1
OR4C13
OR52B2
LSR
OR2T12
SCARF2
PEAR1
OR6C4
ADGRB2
OR6J1
OR4F3
OR4K15
OR5D2P
OR1L8
GPR21
OR8K1
OR4C6
OR10AG1
OR1L3
OR5M1
OR52Z1P
PNRC2
GPR142
OR8J1
OR51F2
OR9A4
NPTXR
OR10G8
OR5M3
OR4K14
OR10S1
OR51T1
OR7A2P
OR10J3
OR10T2
OR4K5
OR14A2
OR10G7
OR52I2
PTPN18
SORCS1
OR56A1
OR13F1
OR10V1
OR5M9
OR52J3
OR6N2
OR8K5
GOSR2
EPS15L1
OR10G4
OR52K2
OR4C3
OR10K1
OR52E4
OR13C2
OR8H1
OR11H6
GPR135
OR8B12
OR5AC1
OR5AU1
OR2T33
NSD2
OR4A15
OR2G2
OR10R2
OR14I1
OR6K6
OR6K2
OR6S1
OR10K2
OR4D5
OR5H1
SSR3
OR8D4
OR11H1
OR52B6
FOLR3
OR52N1
OR10H5
OR11L1
OR6X1
OR9G4
OR5D16
OR10Q1
OR5M10
OR5A2
OR8I2
OR52K1
GPR78
OR10AC1
OR8H2
OR4N5
OR10A7
OR1I1
OR8H3
ADGRB3
OR9K2
GPR26
OR13D1
OR51Q1
RARRES1
OR51L1
SSR2
OR2G3
OR6B3
OR51S1
OR5M8
OR11H2
OR2M7
OR2AE1
OR5M11
OR4S1
UNC5A
GRK7
OR10G9
OR4D11
GRIP2
OR5D3P
OR52I1
OR5AL1
OR10G6
OR56A4
GPR152
GPR141
OR5T3
GPR148
LRIF1
STRA6
GPR176
OR52E2
OR5B2
OR51A7
OR13C5
OR4Q2
PTGFRN
OR10H4
SSC4D
OR2T6
OR52N5
OR6C2
OR2T27
GPR25
GPR150
OR4K13
OR51H1
TRPM5
SORCS3
TRBV20OR9-2
OR14L1
OR13C9
OR13C7
C1D
OR5AC2
OR4K3
OR2A25
TRBV6-7
TRBV16
OR6T1
OR5AK2
OR2AJ1
TRBV5-3
OR6C3
OR8J2
TRBV23-1
TRAV12-3
TRBV7-1
LCOR
OR6C1
OR2W6P
SSR1
OR1F12P
OR2V1
TREML2
OR6C74
LRP3
SRARP
OR1K1
GPRASP2
VN1R5
OR2T34
OR2M5
LDLRAD3
RTP3
OR2G6
VN1R17P
CNIH2
OR2T8
RIPK4
OR56B2
PTPN9
TRGV1
NRBP1
VN1R3
TRAV12-2
OR1S2
TRBV7-9
RTP4
OR2T7
OR4M2
OR52E1
TRAV23DV6
LDLRAD4
UNC5D
SSC5D
TRAV22
OR2B11
TRAV8-3
TRGV10
TRGV11
NPY4R2
OR8J3
OR2T29
TRBV17
TRAV9-2
TRAV8-4
OR5H15
TRBV30
OR10D4P
OR8G3
TRAV12-1
OR4K17
GOSR1
OR52L2P
GPR82
OR4P4
GLRA4
TRAV19
APELA
TRBV12-3
OR4F5
REEP6
TAS2R2
GPR162
OR7E26P
PNRC1
TRAV24
OR4A4P
OR4C45
OR2T10
OR52P1
CRLF3
OR56A5
PKDREJ
TRAV8-1
OR5B1P
TRAV38-2DV8
OR4F21
OR2M2
OR5AP2
OR2W5P
TRAV18
OR1R1P
PSMD4
OR10J4
OR9A1P
TRBV11-3
OR5B21
TRAV17
TRBV7-3
OR6C6
OR9Q1
OR6C70
TRGV3
PAQR3
OR4C46
OR9Q2
TRAV13-1
TRAV13-2
MILR1
ITPRIP
VSIR
TRBV6-1
TRBV3-1
OR6C76
OR6C68
TRBV4-1
GPR157
TREML4
TRAV5
PTPN21
OR6C75
CR1L
PLGRKT
TRBV19
OR52A4P
OR8U1
TRBV10-1
OR5K3
OR5K4
OR52E5
TRBV5-7
TRAV27
TRPC4AP
TRBV11-1
OR6C65
TRDV3
TRAV9-1
TRAV3
OR13C6P
OR10J6P
TRAV21
ANXA2R
TRAV26-2
REEP5
TRDC
NCR3LG1
TRAV6
OR1D3P
TRAJ3
OR8S1
LEPROTL1
TRAV14DV4
PRAME
OR10B1P
TRAV10
TRAV34
TARM1
TRAV8-6
TRBV10-3
TRBV5-1
TRBV20-1
TRBV5-6
OR4H6P
TRDV1
TRBV28
OR51A4
OR51C1
TRBV7-2
TRBV12-4
TRGV9
TRAV39
TRAV41
TRAV16
TRAV1-1
TRAV1-2
TRAV38-1
TRBV13
REEP3
TRBV29-1
TRBV11-2
TRBV4-2
OR2L3
TRDV2
TRBV10-2
SCART1
TRAV36DV7
OR7A3P
GREB1
TGFBR3L
TRAV4
TRBV27
TRBV5-4
KLRF2
TRAV30
TRAV8-2
OR9G9
TRBV12-5
OR2T3
TRBV6-5
TRAV40
LENG1
TRGV5
LENG8
MAS1L
TRBV7-4
REEP4
TRBV4-3
TRBV2
TRAV20
MINAR2
MCFD2
OR11H12
OR8C1P
KIR3DX1
OR5B10P
TIGIT
TRBV14
TRBV5-8
TRBV6-3
TRBV24-1
OR7E41P
TRBV6-4
TRBD1
RGMA
TRAV35
TRAV25
TRAV2
TRAV26-1
TRAV7
TRIP10
TRBV18
TRBV5-5
TRBV6-9
OR51A2
GPR180
TRGV2
CNIH3
TRBJ1-4
OR7E16P
PAQR4
OR5BS1
TRDJ1
TRBV7-8
OR7E21P
TRBV25-1
TRBV9
TRBV6-6
TRBV6-8
TRBV7-6
TRBV7-7
OR7E12P
OR7E62P
OR8U9
FCGR1CP
OR2B8
TRDD1
TRGV4
CLPTM1
TRGJ1
NBR1
TRGV8
OR7E66P
GABARAPL3
OR7A15P
OR7E2P
OR5G1P
GREB1L
GPR107
TRAJ31
OR7D1P
GPR108
OR7E5P
OR9H1
OR4M2B
TRAJ42
TRBJ2-2
TRBJ1-1
OR7E4P
OR8U8
TRBJ2-3
TRPC2
TRBJ2-7
TRBJ1-3
TRBJ1-5
TRBJ1-6
TRBJ2-4
TRBJ2-6
TRBJ2-1
TRBJ2-5
TRBJ1-2
OR7E13P
OR7E53P
RER1
TRBV6-2
BCAP29
OR7E15P
OR8B1P
GPR15LG
TAS2R64P
PTPRCAP
TNK1
PKD1L3
OR7E43P
OR4N4C
PTPN20
IRAG1
NRIP2
OR5E1P
OR7E87P
OR4A1P
TRAV8-7
OR7E11P
OR2J4P
OR2U1P
CXCR2P1
TRAJ10
OR2N1P
OGFRL1
OR7E19P
MALRD1
OR7E22P
OR7E31P
OR7E18P
LRP11
NRBP2
OR5J1P
OR10G1P
IGFLR1
TEX264
ILDR2
OR7E10P
OR7E14P
GPR89B
GPR89A
IL17REL
TRAJ18
OR51A1P
HTR5BP
OR2H5P
OR7A1P
OR2H4P
OR2U2P
OR2G1P
OR2A9P
GPR155
TRAJ2
TRAJ1
TRAJ12
TRAJ22
TRAJ24
TRAJ25
TRAJ29
SPSB1
LCORL
OR4G1P
OR4G3P
OR7E116P
OR5M5P
TRAJ33
TRAJ38
TRAJ53
LOC117134608
OR2Q1P
TRAJ44
KLRG2
OR52B1P
TRAJ6
OR5AK4P
OR7H1P
TRDJ3
TRAJ34
PKD1L1
TRAJ40
NR1H5P
OR7E106P
TRAJ56
NKTR
OR7E25P
OR8B7P
OR8B5P
OR8B6P
TRAJ17
TRBV15
OR56B3P
OR10D1P
TRAJ23
LRP5L
NSD3
OR7E23P
OR55B1P
OR5H3P
TRAJ37
LDLRAD2
OR4C1P
OR4C4P
OR5H5P
OR4K8P
OR4N1P
OR51A10P
TRAJ19
TRAJ27
TRAJ32
TRAJ39
TRAJ4
TRAJ11
TRAJ13
TRAJ16
TRAJ20
TRAJ21
TRAJ26
TRAJ28
TRAJ30
TRAJ35
TRAJ36
TRAJ48
TRAJ49
TRAJ5
TRAJ50
TRAJ52
TRAJ7
TRAJ41
TRAJ43
TRAJ45
TRAJ46
TRAJ47
TRAJ54
TRAJ57
TRAJ59
TRAJ61
TAAR4P
OR2L1P
TRDJ2
OR5P1P
LOC117135106
OR11I1P
TRAJ14
TRAJ9
LENG9
IRAK1BP1
OR11H13P
OR7E126P
TRGJP1
OR5BN1P
OR7E8P
GPR137
OR10AB1P
OR10R3P
OR7E115P
OR5AZ1P
OR2A3P
OR2R1P
OR4D8P
OR13C1P
OR2A13P
OR7A8P
OR5H4P
OR52M2P
OR51A6P
HTR7P1
TAS2R12P
OR4N3P
OR52N3P
OR5G5P
OR7E122P
OR13E1P
OR5AK1P
OR5H7P
OR9K1P
OR10R1P
OR11K1P
OR4C2P
OR4G2P
OR4H12P
OR4K7P
OR4P1P
OR8L1P
OR4G6P
OR6U2P
OR9G2P
OR4A13P
OR4K11P
TRGV5P
OR8B9P
OR9I2P
OR5M13P
NR3C1P1
OR52B3P
OR7E28P
OR2M1P
TAS2R18P
OR2B4P
GPR137C
OR2AT1P
OR1H1P
OR7E105P
DRD5P2
TRGJP2
TRGJ2
OR6K4P
OR7E125P
OR2B7P
OR7E99P
OR10V2P
OR3A5P
TAS2R15P
OR2A20P
RGMB
OR52T1P
TREML3P
TRGJP
LDLRAD1
OR52V1P
OR7E33P
OR10Q2P
SPSB4
TRDJ4
OR2AH1P
OR51H2P
OR5AQ1P
OR5BE1P
OR13D3P
OR10AA1P
OR2AI1P
OR2AT2P
OR51N1P
OR5BA1P
OR5F2P
OR6K1P
OR8A2P
OR8B10P
OR8G7P
OR10N1P
OR13D2P
OR51A8P
OR51A9P
OR51R1P
OR5M2P
OR5M4P
OR6M2P
OR6R1P
OR7E111P
OR8F1P
OR10D5P
OR10T1P
OR10U1P
OR10Y1P
OR11G1P
OR11H3P
OR11H5P
OR11K2P
OR2W4P
OR4A12P
OR4A21P
OR4A2P
OR4A6P
OR4A7P
OR4A9P
OR4C14P
OR4D7P
OR4K12P
OR4K16P
OR4K4P
OR4K6P
OR4Q1P
OR4T1P
OR4U1P
OR4V1P
OR52E7P
OR52X1P
OR5AM1P
OR5AP1P
OR5BB1P
OR5BR1P
OR5D17P
OR5G4P
OR5M12P
OR5M6P
OR5M7P
OR5W1P
OR6K5P
OR7E117P
OR8I1P
OR8V1P
OR9G3P
OR9R1P
OR4A19P
OR4A50P
OR51A3P
OR5B15P
OR5D15P
OR9I3P
IRAG2
IRS3P
OR7E136P
OR2A15P
OR2S1P
OR2AM1P
TRAJ58
OR7E59P
OR7E39P
TAS2R68P
OR7E37P
OR9A3P
OR6W1P
TAS2R63P
GPR137B
PIRT
TRBV23OR9-2
TRBV21-1
OR51B3P
FOLR1P1
ESRRAP1
NRIP3
TRAJ60
TRBV24OR9-2
TRBV29OR9-2
TRBJ2-2P
OR7E29P
OR7E36P
OR7E38P
OR6D1P
OR7E109P
OR7E162P
TRAJ15
DORIP1
SPSB3
RTP5
TAS2R62P
MINAR1
TRAV8-5
OR2E1P
OR7E35P
OR7E84P
OR7E86P
OR9P1P
OR4F7P
OR7E103P
OR5BH1P
TREML5P
OR52B5P
LILRP2
TAS2R6P
TRAJ51
TRAJ55
TRAJ8
TRAV11
TRAV28
TRAV31
TRAV32
TRAV33
TRAV37
TRAV15
OR6L2P
LILRP1
TLR12P
TRBV21OR9-2
SPSB2
OR2AF1P
TAAR7P
COL1AR
OR7E156P
OR6E1P
OR7E129P
OR7E91P
TRBV25OR9-2
DRD5P1
OR10J7P
OR7K1P
TRDD3
OR7E154P
OR7E83P
OR5S1P
OR7E1P
OR7E102P
OR10AH1P
OR2A41P
OR2AO1P
OR4F1P
OR5M14P
OR7E46P
OR3B1P
PKD2L2
TAS2R67P
OR6L1P
OR9N1P
PTPRZ2
OR7E140P
VN1R10P
TRDD2
HTR1DP1
OR6C64P
OR2BH1P
OR7E85BP
TRGVA
TRGVB
NRADDP
OR5P4P
TRGV6
OR52K3P
OR7E94P
OR7H2P
IL6RP1
OR10J8P
OR10V7P
OR2W2P
OR4A46P
OR5AL2P
OR7L1P
OR13K1P
ENSG00000173366
OR5BN2P
OR8I4P
OR7E108P
OR8S21P
OR6R2P
ADORA2BP1
TRBD2
GPR165P
OR7E111FP
TRGV7
GRK6P1
VN1R7P
OR7E47P
ESRRAP2
ENSG00000284732
GPR199P
VN2R1P
LOC109621227
GPR79
PTPRVP
TRBV22-1
GPR53P
VN1R8P
BMPR1AP1
VN1R103P
TRBV7-5
GPR166P
GPRASP3
OR11J6P
ERLNC1
TRBV12-2
TRBV12-1
TRBV26OR9-2
TRBV22OR9-2
TRBV3-2
FGFR3P1
LOC102725023
TRBV5-2
VN1R11P
VN1R9P
P2RX6P
OR11K1BP
OR1Q1BP
OR4H6BP
OR4N3BP
OR4F8BP
VN1R95P
TRBVB
TRBV1
TRBV26
TRBV8-1
TRBV8-2
TRBVA
VN1R57P
ARLNC1
NXTAR
PTGER4P3
VN1R108P
VN1R106P
HTR3C2P
ENSG00000289768
MTVR2
TRBVAOR9-2
TRCG1P
ANCV1RP
VN1R20P
VN1R51P
VN1R28P
VN1R13P
VN1R105P
VN1R25P
VN1R60P
VN1R69P
VN1R79P
VN1R92P
VN1R30P
VN1R99P
VN1R74P
VN1R77P
VN1R49P
VN1R104P
OGFRP1
VN2R9P
LOC402279
EPS15P1
GPR143YP
PKD1P2
TANAR
ARNILA
ENSG00000289723
VN1R70P
TRG-AS1
SSR4P1
VN1R86P
VN1R110P
VN1R107P
VN1R12P
VN1R32P
VN1R66P
VN1R81P
VN1R82P
VN1R84P
VN1R96P
VN1R21P
VN1R31P
VN1R34P
VN1R35P
VN1R37P
VN1R38P
VN1R40P
VN1R42P
VN1R46P
VN1R48P
VN1R53P
VN1R54P
VN1R64P
VN1R68P
VN1R71P
VN1R76P
VN1R78P
VN1R85P
