STAT3
CRTC2
HSFX2
CNOT8
TAL2
RBL2
ETV3L
PHTF2
UBTFL1
CRTC3
CNOT4
HSFX3
TADA3
MTERF4
GTF2F2P1
CAMTA1
LOC111099028
HSFX4
MLLT11
KLF18
BTF3P11
TFAMP1
USF3
TASOR
CNOT11
CNOT9
MAML1
TLE1
HIC1
TFAMP2
AUTS2
CAMTA2
BTF3P12
NPAT
BTF3P13
CNOT6L
CNOT10
ATF4P1
LOC109611589
CNOT6
GTF2IP1
LOC109609705
LOC108175351
BCL9
TCEA1P2
LOC108175348
LOC108178982
TCEA1P1
E2F3P1
E2F3P2
ELK2AP
LOC108169207
GTF2IP4
ASXL1
AHCTF1P1
ATF4P4
CBFA2T3
SLTM
GTF2H2B
SP3P
LOC108167314
LOC108169209
LOC108175343
MT-TFH
MT-TFL
MT-TFX
MT-TFY
CIC
ATF4P2
HSFY3P
BCLAF1P2
NFYAP1
LARP7
ATF4P3
BTF3P10
LOC642929
SPEN
TBX23P
ELK2BP
LOC260339
TADA2A
INSM1
GTF2IP20
MNT
BCL6B
NUPR1
BTF3P7
SALL1P1
LOC100419912
BTF3L4P2
CIART
E2F6P4
BTF3P9
BTF3L4P4
GTF3AP6
HSFY4P
TLE4
GTF2IP12
ATF1P1
BTF3P14
BTF3L4P3
EYA1
MAML2
CBFA2T2
OVOL1
TLE3
TADA1
ASXL2
TCERG1L
MAML3
FRYL
NOC2L
TADA2B
SCRT1
PRAME
MIER1
TASOR2
EMSY
PLUT
TLE5
SKOR1
TLE2
PIRAT1
SKOR2
MACC1
EYA4
ABITRAM
ASXL3
HIC2
BRMS1
INSM2
SNAI3
MAMSTR
SCRT2
EYA2
TCIM
ZNF24TR
MN1
RIPPLY2
RIPPLY3
EYA3
BRMS1L
NUPR2
RIPPLY1
MAFTRR
APTR
CRSP5
ARB2A
LETR1
ZEBTR
LNCTAM34A
